Company,Price,S/O,Market Cap,Cash,Debt,Revenue,EV,Forward PE
CAH,49.85,292.44M,14.58B,2.77B,7.24B,152.92B,19.05B,8.42
CARR,29.52,866.16M,25.57B,2.7B,12.72B,17.18B,35.92B,17.06
CAT,138.43,541.51M,74.96B,8.03B,38.65B,46.53B,105.62B,19.09
CB,121.92,451.36M,55.03B,5.56B,19.04B,34.47B,68.51B,11.12
CBOE,91.64,108.76M,9.97B,386.6M,1.02B,3.06B,10.6B,18.33
CBRE,44.91,335.28M,15.06B,1.21B,4.38B,24.32B,17.92B,14.77
CCI,163.17,419.67M,68.48B,2.51B,27.04B,5.77B,93B,60.43
CCL,14.65,694.33M,12.85B,6.88B,22.26B,16.84B,26.48B,-5.84
CDNS,110.57,278.79M,30.83B,1.19B,696.39M,2.44B,30.33B,40.35
CDW,111.15,142.67M,15.86B,958.4M,4.52B,18.2B,19.42B,17.56
CE,99.81,118.29M,11.81B,575M,4.34B,5.67B,15.95B,11.00
CERN,71.82,305.38M,21.93B,441.02M,1.52B,5.61B,23.01B,22.24
CF,32.37,213.88M,6.92B,563M,4.24B,4.26B,13.31B,19.86
CFG,24.19,426.83M,10.32B,9.99B,9.66B,5.41B,11.95B,9.49
CHD,96.50,247.31M,23.87B,451.7M,2.04B,4.59B,25.46B,32.27
CHRW,96.49,134.82M,13.01B,362.24M,1.44B,15.08B,14.08B,23.42
CHTR,613.96,234.2M,125.8B,2.1B,79.67B,46.64B,226.39B,31.78
CI,178.30,367.2M,65.47B,8.38B,37.16B,154.63B,94.3B,8.72
CINF,77.34,160.85M,12.44B,706M,967M,6.47B,12.7B,20.30
CL,78.69,857.4M,67.47B,1.02B,7.4B,15.94B,74.31B,25.14
CLX,226.33,125.93M,28.57B,871M,3.14B,6.72B,30.83B,28.65
CMA,38.37,139.04M,5.33B,13.98B,7.49B,2.53B,-759.06M,11.39
CMCSA,43.07,4.56B,196.75B,13.93B,109.98B,105.55B,295.22B,14.55
CME,173.86,358.62M,62.35B,1.49B,4.06B,5.11B,64.95B,24.66
CMG,"1,253.24",27.97M,35.05B,906.66M,3.01B,5.62B,37.15B,60.02
CMI,209.03,147.68M,30.87B,2.1B,4.42B,20.21B,34.1B,17.64
CMS,60.39,286.28M,17.29B,1.59B,15.22B,6.65B,31.26B,21.19
CNC,62.47,579.47M,36.2B,14.36B,17.85B,86.51B,39.84B,10.86
CNP,19.79,544.82M,10.78B,969M,12.91B,12.16B,25.17B,14.77
COF,63.80,456.64M,29.13B,58.43B,46.36B,15.32B,22.28B,9.01
COG,19.52,398.58M,7.78B,117.16M,1.26B,1.54B,8.92B,11.90
COO,301.60,53.33M,16.09B,79.8M,2.18B,2.54B,16.92B,24.80
COP,38.16,1.07B,40.93B,7.86B,15B,25.1B,48.06B,72.00
COST,344.61,441.52M,152.15B,11.77B,12.51B,160.88B,153.29B,36.82
COTY,3.79,763.09M,2.89B,1.28B,9.89B,7.93B,11.83B,10.24
CPB,52.54,302.16M,15.88B,1.24B,6.95B,8.36B,21.59B,18.37
CPRT,100.69,234.78M,23.64B,306.39M,516.29M,2.22B,23.85B,38.88
CRM,,,,,,,,
CSCO,42.25,4.22B,178.39B,29.42B,14.58B,49.3B,163.75B,12.69
CSX,74.13,765.05M,56.71B,2.59B,16.99B,10.97B,71.12B,17.91
CTAS,320.39,103.42M,33.16B,145.4M,2.87B,7.09B,35.89B,35.05
CTL,11.01,1.1B,12.08B,1.76B,34.77B,22.02B,45.09B,8.16
CTSH,65.72,542.24M,35.64B,4.58B,3.47B,16.76B,34.52B,16.60
CTVA,28.44,748.48M,21.29B,2.87B,2.63B,14.04B,21.29B,17.34
CTXS,143.23,123.53M,17.69B,867.67M,1.93B,3.2B,18.76B,23.14
CVS,63.94,1.31B,83.68B,17.46B,92.05B,262.98B,158.8B,8.48
CVX,85.08,1.87B,158.87B,6.91B,34.05B,114.98B,186.27B,30.06
CXO,48.49,196.71M,9.54B,320M,3.96B,3.53B,13.11B,16.22
D,78.64,840.14M,66.07B,675M,40.56B,16.82B,110.34B,20.32
DAL,27.27,637.86M,17.39B,15.67B,34.38B,34.06B,36.04B,14.20
DD,55.14,733.83M,40.46B,3.74B,19.75B,20.68B,57.28B,15.71
DE,199.50,312.86M,62.42B,8.83B,48.47B,35.68B,102.09B,22.62
DFS,49.57,306.42M,15.19B,15.14B,23.2B,5.91B,24.31B,8.70
DG,198.93,251.72M,50.08B,2.67B,12.92B,29.58B,60.32B,22.35
DGX,117.83,134.3M,15.82B,988M,5.14B,7.53B,20.1B,13.19
DHI,76.97,363.7M,27.99B,2.28B,4.37B,18.95B,30.37B,11.75
DHR,207.80,707.02M,147.42B,5.54B,23.28B,18.89B,168.44B,32.37
DIS,127.44,1.81B,230.29B,23.11B,68.31B,69.76B,289.25B,47.38
DISCA,21.99,160.21M,10.62B,1.69B,15.51B,10.78B,30.56B,6.62
DISCK,20.04,340.17M,10.57B,1.69B,15.51B,10.78B,29.25B,6.02
DISH,33.53,286.87M,17.61B,2.63B,13.2B,12.81B,28.78B,13.80
DLR,154.56,269M,41.58B,505.17M,13.83B,3.32B,57.41B,101.02
DLTR,100.30,237.23M,23.79B,1.76B,10.42B,24.09B,32.46B,17.69
DOV,109.94,143.97M,15.83B,649.03M,3.51B,6.76B,18.68B,18.63
DOW,43.59,741.12M,32.31B,3.77B,19.86B,39.09B,48.96B,20.86
DPZ,419.70,39.35M,16.51B,247.95M,4.41B,3.76B,20.67B,32.53
DRE,38.16,370.56M,14.14B,29.87M,3.12B,948.3M,18.18B,62.56
DRI,82.71,130.08M,10.76B,763.3M,6.01B,7.81B,15.99B,14.69
DTE,115.83,192.65M,22.31B,579M,19.08B,11.87B,40.98B,16.27
DUK,81.00,735.43M,59.57B,344M,66.06B,23.99B,128.38B,15.52
DVA,86.80,121.8M,10.59B,3.08B,12.87B,11.52B,21.8B,11.92
DVN,10.44,382.8M,4B,1.47B,4.54B,5.86B,7.19B,36.00
DXC,18.68,254.2M,4.75B,5.51B,13.71B,19.19B,13.3B,4.52
DXCM,426.90,95.74M,40.87B,2.51B,1.76B,1.72B,40.13B,131.35
EA,141.21,288.8M,40.78B,5.96B,1.23B,5.79B,36.05B,23.81
EBAY,58.21,699.88M,40.74B,5.3B,9.09B,11.2B,44.52B,14.70
ECL,194.85,285.38M,55.61B,1.37B,7.73B,14.52B,62B,36.83
ED,72.20,334.5M,24.15B,1.14B,23.95B,12.27B,47.18B,15.97
EFX,159.33,121.46M,19.35B,1.35B,4.38B,3.72B,22.42B,26.34
EIX,51.26,378.22M,19.39B,524M,21.41B,12.49B,43.39B,11.22
EL,207.01,224.76M,74.52B,5.02B,8.79B,14.29B,78.41B,33.55
EMN,70.80,135.35M,9.58B,718M,6.32B,8.7B,15.26B,10.25
EMR,67.86,597.59M,40.55B,2.45B,7.73B,17.2B,45.88B,19.96
EOG,43.39,582.24M,25.26B,2.42B,5.98B,13.19B,28.83B,25.98
EQIX,782.17,88.56M,69.27B,4.79B,15.47B,5.65B,79.95B,92.89
EQR,54.69,372.21M,20.36B,187.42M,8.75B,2.71B,29.74B,40.51
ES,86.54,342.54M,29.65B,64.89M,15.45B,8.55B,45.2B,22.30
ESS,213.02,65.21M,13.89B,246.2M,6.4B,1.63B,20.29B,49.89
ETFC,52.98,221.1M,11.71B,6.64B,2.82B,2.9B,8.48B,19.62
ETN,100.59,400.1M,40.25B,501M,8.77B,19.2B,48.56B,20.74
ETR,98.13,200.16M,19.65B,935.47M,21.43B,10.44B,40.71B,16.49
EVRG,50.41,226.83M,11.43B,176.2M,10.41B,5.01B,21.65B,15.56
EW,78.71,621.74M,48.94B,1.16B,684.5M,4.32B,48.46B,35.78
EXC,36.52,974.5M,35.59B,2.13B,40.14B,33.34B,75.76B,12.51
EXPD,86.29,166.82M,14.39B,1.18B,430.25M,8.6B,13.72B,22.77
EXPE,91.10,135.7M,12.87B,5.47B,10.1B,9.08B,19.98B,59.93
EXR,105.31,129.07M,13.59B,56.4M,5.47B,1.35B,19.38B,33.54
F,6.66,3.91B,26.5B,39.26B,176.48B,130.4B,163.75B,9.51
FANG,39.21,157.82M,6.19B,51M,5.97B,3.24B,13.23B,12.90
FAST,48.54,572.82M,27.84B,201.5M,659.7M,5.53B,28.3B,31.12
FB,267.01,2.4B,760.66B,58.24B,11B,75.16B,713.43B,26.38
FBHS,85.21,138.15M,11.77B,398.4M,2.38B,5.71B,13.76B,20.19
FCX,14.36,1.45B,20.85B,1.6B,9.91B,12.92B,37.37B,11.31
FDX,210.49,262M,55.15B,4.88B,36.12B,69.22B,86.38B,16.69
FE,28.11,542.11M,15.24B,116M,22.18B,10.68B,37.3B,10.69
FFIV,135.32,61.17M,8.28B,1.09B,785.21M,2.33B,7.97B,13.88
FIS,141.80,619.6M,87.86B,1.18B,19.87B,12.2B,106.73B,21.13
FISV,95.63,669.65M,64.04B,869M,21.87B,14.41B,86.75B,17.78
FITB,19.56,712.24M,13.93B,7.34B,19.71B,6.6B,28.08B,10.35
FLIR,35.35,131.12M,4.64B,333.7M,883.41M,1.89B,5.18B,15.44
FLS,29.22,130.16M,3.8B,561.71M,1.55B,3.88B,4.82B,18.38
FLT,238.67,84.05M,20.06B,765.79M,4.45B,2.57B,23.74B,18.54
